V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11
0 0 1 0.53 0.405 0.13 0.6615 0.2945 0.1395 0.19 3
1 0 0 0.525 0.415 0.16 0.6445 0.26 0.1575 0.22 4
1 0 0 0.345 0.27 0.09 0.195 0.078 0.0455 0.059 3
1 0 0 0.59 0.47 0.16 1.206 0.479 0.2425 0.309 3
1 0 0 0.615 0.475 0.175 1.224 0.6035 0.261 0.311 3
1 0 0 0.355 0.26 0.085 0.1905 0.081 0.0485 0.055 2
0 0 1 0.54 0.395 0.135 0.6555 0.2705 0.155 0.192 3
1 0 0 0.65 0.545 0.16 1.2425 0.487 0.296 0.48 5
0 0 1 0.535 0.45 0.17 0.781 0.3055 0.1555 0.295 4
0 0 1 0.295 0.215 0.075 0.116 0.037 0.0295 0.04 3
0 0 1 0.335 0.25 0.08 0.1695 0.0695 0.044 0.0495 2
0 1 0 0.71 0.555 0.17 1.47 0.5375 0.38 0.431 4
0 0 1 0.425 0.31 0.09 0.301 0.1385 0.065 0.08 3
1 0 0 0.635 0.515 0.165 1.229 0.5055 0.2975 0.3535 4
1 0 0 0.57 0.435 0.125 0.8965 0.383 0.1835 0.275 3
1 0 0 0.64 0.585 0.195 1.647 0.7225 0.331 0.471 4
0 0 1 0.4 0.315 0.1 0.3225 0.143 0.0735 0.091 2
1 0 0 0.495 0.395 0.12 0.553 0.224 0.1375 0.167 3
1 0 0 0.66 0.51 0.165 1.6375 0.7685 0.3545 0.3925 5
0 0 1 0.405 0.31 0.09 0.312 0.138 0.06 0.087 3
0 0 1 0.61 0.49 0.16 1.1545 0.5865 0.2385 0.2915 4
1 0 0 0.75 0.55 0.18 1.893 0.942 0.397 0.445 4
0 0 1 0.35 0.265 0.11 0.209 0.066 0.059 0.075 3
1 0 0 0.38 0.235 0.1 0.258 0.1055 0.054 0.08 3
1 0 0 0.555 0.44 0.15 1.092 0.416 0.212 0.4405 5
1 0 0 0.52 0.39 0.12 0.6435 0.2885 0.157 0.161 3
0 1 0 0.8 0.63 0.195 2.526 0.933 0.59 0.62 8
1 0 0 0.595 0.455 0.145 0.942 0.43 0.182 0.277 4
0 1 0 0.505 0.38 0.135 0.6855 0.361 0.1565 0.161 3
0 1 0 0.545 0.4 0.14 0.778 0.368 0.215 0.18 3
0 0 1 0.305 0.245 0.075 0.156 0.0675 0.038 0.045 3
0 0 1 0.495 0.375 0.12 0.589 0.3075 0.1215 0.1405 3
0 1 0 0.62 0.505 0.16 1.3725 0.6285 0.275 0.3685 4
0 0 1 0.545 0.43 0.14 0.687 0.2615 0.1405 0.25 3
0 0 1 0.44 0.345 0.13 0.4495 0.209 0.0835 0.134 2
0 1 0 0.45 0.35 0.145 0.5425 0.1765 0.123 0.175 5
0 1 0 0.54 0.42 0.14 0.8035 0.38 0.1805 0.21 3
0 0 1 0.56 0.445 0.165 0.832 0.3455 0.179 0.279 3
0 1 0 0.7 0.56 0.175 1.6605 0.8605 0.3275 0.398 4
0 1 0 0.67 0.545 0.16 1.5415 0.5985 0.2565 0.495 5
0 0 1 0.37 0.27 0.09 0.1855 0.07 0.0425 0.065 3
1 0 0 0.645 0.5 0.175 1.3375 0.554 0.308 0.415 4
0 1 0 0.55 0.43 0.15 0.84 0.395 0.195 0.223 3
0 1 0 0.615 0.5 0.175 1.377 0.5585 0.33 0.292 4
1 0 0 0.605 0.475 0.15 1.15 0.575 0.232 0.297 4
0 0 1 0.4 0.31 0.1 0.2875 0.1145 0.0635 0.095 4
0 1 0 0.635 0.505 0.185 1.3035 0.501 0.295 0.41 6
1 0 0 0.645 0.485 0.215 1.514 0.546 0.2615 0.635 6
0 1 0 0.59 0.455 0.15 0.976 0.465 0.2055 0.2765 4
1 0 0 0.52 0.42 0.16 0.745 0.255 0.157 0.2885 4
1 0 0 0.635 0.5 0.17 1.4345 0.611 0.309 0.418 4
0 0 1 0.3 0.22 0.065 0.1235 0.059 0.026 0.0315 2
1 0 0 0.575 0.45 0.135 0.9215 0.354 0.209 0.2365 3
1 0 0 0.68 0.54 0.19 1.623 0.7165 0.354 0.4715 4
1 0 0 0.61 0.48 0.165 1.244 0.6345 0.257 0.305 4
0 0 1 0.725 0.55 0.22 2.0495 0.7735 0.4405 0.655 4
0 1 0 0.385 0.315 0.11 0.286 0.1225 0.0635 0.0835 4
1 0 0 0.595 0.45 0.14 0.838 0.3965 0.194 0.217 4
0 1 0 0.605 0.465 0.155 1.1 0.547 0.2665 0.2585 4
0 1 0 0.56 0.425 0.125 0.932 0.361 0.213 0.335 3
1 0 0 0.5 0.42 0.125 0.62 0.255 0.15 0.205 4
0 1 0 0.37 0.275 0.08 0.227 0.093 0.0625 0.07 3
1 0 0 0.48 0.37 0.1 0.5135 0.243 0.1015 0.135 3
1 0 0 0.54 0.415 0.17 0.879 0.339 0.208 0.255 4
1 0 0 0.385 0.3 0.115 0.3435 0.1645 0.085 0.1025 2
0 1 0 0.515 0.39 0.13 0.5755 0.1975 0.13 0.1845 3
1 0 0 0.555 0.445 0.13 0.8625 0.4225 0.155 0.24 3
0 0 1 0.47 0.35 0.125 0.4315 0.19 0.1165 0.1175 2
1 0 0 0.535 0.405 0.185 0.8345 0.3175 0.1725 0.29 6
0 0 1 0.585 0.475 0.16 1.0505 0.48 0.234 0.285 4
0 0 1 0.455 0.365 0.135 0.441 0.1515 0.1165 0.145 3
0 0 1 0.475 0.35 0.11 0.4565 0.206 0.099 0.13 2
0 0 1 0.36 0.26 0.09 0.1785 0.0645 0.037 0.075 3
0 0 1 0.34 0.25 0.075 0.1785 0.0665 0.0455 0.045 2
0 1 0 0.68 0.505 0.17 1.3435 0.657 0.297 0.355 4
0 1 0 0.455 0.36 0.11 0.4385 0.206 0.098 0.125 4
0 0 1 0.435 0.335 0.11 0.383 0.1555 0.0675 0.135 4
1 0 0 0.525 0.42 0.155 0.842 0.428 0.1415 0.2045 3
0 1 0 0.505 0.4 0.125 0.583 0.246 0.13 0.175 3
0 1 0 0.52 0.4 0.13 0.6245 0.215 0.2065 0.17 5
0 1 0 0.69 0.53 0.17 1.5535 0.7945 0.3485 0.3695 3
0 0 1 0.335 0.25 0.095 0.185 0.0795 0.0495 0.055 3
1 0 0 0.57 0.44 0.095 0.827 0.3395 0.2215 0.235 3
1 0 0 0.655 0.58 0.205 2.0805 0.959 0.3415 0.601 6
0 1 0 0.665 0.52 0.165 1.6885 0.7295 0.407 0.4265 4
0 1 0 0.465 0.39 0.11 0.6355 0.1815 0.157 0.225 5
0 1 0 0.635 0.495 0.195 1.297 0.556 0.2985 0.37 4
0 1 0 0.465 0.35 0.13 0.494 0.1945 0.103 0.155 7
0 1 0 0.695 0.55 0.16 1.6365 0.694 0.3005 0.44 5
0 0 1 0.395 0.3 0.09 0.253 0.1155 0.05 0.075 2
0 0 1 0.51 0.405 0.125 0.6795 0.3465 0.1395 0.182 3
0 1 0 0.5 0.395 0.14 0.7155 0.3165 0.176 0.24 4
0 0 1 0.45 0.335 0.105 0.362 0.1575 0.0795 0.1095 3
0 0 1 0.44 0.34 0.1 0.407 0.209 0.0735 0.103 3
0 1 0 0.6 0.48 0.17 1.056 0.4575 0.2435 0.3135 4
1 0 0 0.58 0.43 0.13 0.798 0.365 0.173 0.2285 4
1 0 0 0.415 0.345 0.135 0.3865 0.128 0.07 0.148 5
0 1 0 0.695 0.535 0.2 1.5855 0.667 0.334 0.471 4
0 1 0 0.705 0.54 0.205 1.757 0.8265 0.417 0.461 3
0 1 0 0.41 0.305 0.1 0.363 0.1735 0.065 0.11 4
1 0 0 0.59 0.47 0.15 0.9955 0.481 0.232 0.24 3
1 0 0 0.565 0.455 0.15 0.9595 0.4565 0.2395 0.23 3
0 1 0 0.645 0.52 0.21 1.5535 0.616 0.3655 0.474 6
0 0 1 0.455 0.375 0.125 0.533 0.233 0.106 0.185 3
1 0 0 0.505 0.395 0.125 0.635 0.29 0.1555 0.175 3
0 0 1 0.33 0.26 0.085 0.1965 0.0915 0.0425 0.055 3
1 0 0 0.565 0.415 0.125 0.667 0.302 0.1545 0.185 3
0 1 0 0.68 0.55 0.21 1.7445 0.5975 0.305 0.625 6
1 0 0 0.62 0.485 0.145 1.003 0.4655 0.2195 0.28 4
0 0 1 0.48 0.36 0.125 0.542 0.2795 0.1025 0.147 3
0 0 1 0.325 0.25 0.055 0.166 0.076 0.051 0.045 2
0 1 0 0.69 0.545 0.205 1.933 0.7855 0.429 0.498 5
0 0 1 0.495 0.385 0.125 0.585 0.2755 0.1235 0.165 3
0 0 1 0.44 0.35 0.11 0.3805 0.1575 0.0895 0.115 2
0 1 0 0.53 0.395 0.145 0.775 0.308 0.169 0.255 3
0 1 0 0.665 0.5 0.15 1.2475 0.4625 0.2955 0.3595 4
1 0 0 0.605 0.445 0.14 0.982 0.4295 0.2085 0.295 4
0 0 1 0.625 0.485 0.15 1.044 0.438 0.2865 0.278 3
0 0 1 0.205 0.155 0.045 0.0495 0.0235 0.011 0.014 1
0 1 0 0.62 0.52 0.225 1.1835 0.378 0.27 0.395 8
0 1 0 0.67 0.525 0.195 1.42 0.573 0.368 0.3905 4
0 1 0 0.675 0.51 0.15 1.1965 0.475 0.304 0.386 4
0 1 0 0.655 0.51 0.15 1.043 0.4795 0.223 0.305 3
0 1 0 0.58 0.475 0.165 1.0385 0.414 0.26 0.305 5
0 1 0 0.685 0.545 0.18 1.768 0.7495 0.392 0.485 6
0 1 0 0.455 0.35 0.125 0.4485 0.1585 0.102 0.1335 6
0 1 0 0.52 0.41 0.115 0.807 0.2855 0.179 0.235 4
0 1 0 0.705 0.535 0.22 1.866 0.929 0.3835 0.4395 4
0 0 1 0.475 0.34 0.105 0.4535 0.203 0.08 0.1465 3
1 0 0 0.43 0.33 0.095 0.34 0.1315 0.085 0.112 5
0 0 1 0.57 0.44 0.15 0.755 0.3425 0.16 0.224 3
0 1 0 0.605 0.475 0.175 1.382 0.609 0.2325 0.3985 4
0 1 0 0.45 0.38 0.165 0.8165 0.25 0.1915 0.265 8
0 1 0 0.545 0.41 0.14 0.7405 0.3565 0.1775 0.203 3
0 0 1 0.555 0.435 0.145 0.6975 0.262 0.1575 0.24 4
1 0 0 0.52 0.385 0.14 0.6595 0.2485 0.2035 0.16 3
0 0 1 0.53 0.43 0.16 0.7245 0.321 0.1275 0.24 3
0 1 0 0.645 0.51 0.2 1.5675 0.621 0.367 0.46 4
1 0 0 0.43 0.335 0.115 0.406 0.166 0.0935 0.135 3
0 1 0 0.525 0.4 0.135 0.714 0.318 0.138 0.208 4
0 1 0 0.58 0.45 0.145 1.137 0.5585 0.22 0.29 3
1 0 0 0.42 0.345 0.105 0.43 0.175 0.096 0.13 3
1 0 0 0.535 0.44 0.15 0.6765 0.256 0.139 0.26 4
0 0 1 0.5 0.385 0.15 0.6265 0.2605 0.1665 0.16 4
0 0 1 0.54 0.425 0.13 0.7205 0.2955 0.169 0.225 4
0 1 0 0.57 0.45 0.15 0.9645 0.531 0.189 0.209 3
1 0 0 0.55 0.415 0.175 1.042 0.3295 0.2325 0.2905 5
1 0 0 0.615 0.475 0.19 1.4335 0.7315 0.305 0.3285 3
0 1 0 0.695 0.56 0.22 1.834 0.8455 0.422 0.455 4
1 0 0 0.63 0.495 0.18 1.31 0.495 0.295 0.4695 4
0 0 1 0.525 0.4 0.11 0.6275 0.3015 0.126 0.18 3
1 0 0 0.575 0.435 0.13 1.0105 0.368 0.222 0.32 4
1 0 0 0.62 0.515 0.175 1.221 0.535 0.241 0.395 5
0 1 0 0.375 0.29 0.08 0.282 0.1405 0.0725 0.08 3
1 0 0 0.76 0.575 0.19 1.829 0.7035 0.386 0.56 5
0 1 0 0.595 0.475 0.17 1.247 0.48 0.225 0.425 7
0 0 1 0.415 0.31 0.11 0.2965 0.123 0.057 0.0995 4
1 0 0 0.59 0.44 0.15 0.9555 0.366 0.2425 0.295 4
0 0 1 0.52 0.415 0.16 0.595 0.2105 0.142 0.26 5
1 0 0 0.555 0.425 0.13 0.7665 0.264 0.168 0.275 5
0 0 1 0.425 0.34 0.1 0.371 0.15 0.0865 0.115 3
0 1 0 0.63 0.515 0.16 1.336 0.553 0.3205 0.35 4
0 1 0 0.61 0.485 0.17 1.1005 0.5125 0.229 0.305 4
0 1 0 0.59 0.475 0.155 0.9715 0.371 0.235 0.28 4
0 1 0 0.53 0.385 0.125 0.6695 0.289 0.151 0.18 4
1 0 0 0.56 0.42 0.195 0.8085 0.3025 0.1795 0.285 5
0 1 0 0.72 0.59 0.205 1.7495 0.7755 0.4225 0.48 4
1 0 0 0.525 0.4 0.17 0.7305 0.279 0.2055 0.195 4
1 0 0 0.705 0.555 0.215 2.141 1.0465 0.383 0.528 4
0 1 0 0.6 0.475 0.18 1.162 0.511 0.2675 0.32 7
0 0 1 0.515 0.39 0.125 0.5705 0.238 0.1265 0.185 3
0 0 1 0.595 0.47 0.135 0.9365 0.434 0.184 0.287 4
1 0 0 0.645 0.515 0.175 1.6115 0.6745 0.384 0.385 5
0 0 1 0.42 0.325 0.1 0.368 0.1675 0.0625 0.1135 4
0 1 0 0.71 0.565 0.195 1.817 0.785 0.492 0.49 4
0 1 0 0.57 0.42 0.16 0.8875 0.4315 0.1915 0.223 3
0 0 1 0.48 0.355 0.125 0.494 0.2385 0.0835 0.15 3
0 1 0 0.47 0.365 0.12 0.582 0.29 0.092 0.146 3
0 1 0 0.465 0.39 0.14 0.5555 0.213 0.1075 0.215 5
0 1 0 0.56 0.445 0.18 0.903 0.3575 0.2045 0.295 3
0 0 1 0.61 0.46 0.17 1.278 0.41 0.257 0.37 6
0 1 0 0.6 0.47 0.2 1.031 0.392 0.2035 0.29 5
1 0 0 0.66 0.515 0.165 1.4465 0.694 0.298 0.3755 4
0 0 1 0.295 0.215 0.07 0.121 0.047 0.0155 0.0405 2
1 0 0 0.235 0.16 0.06 0.0545 0.0265 0.0095 0.015 2
0 0 1 0.54 0.42 0.14 0.7265 0.3205 0.1445 0.229 3
0 0 1 0.44 0.33 0.11 0.38 0.197 0.079 0.09 3
1 0 0 0.655 0.55 0.18 1.274 0.586 0.281 0.365 4
0 0 1 0.495 0.38 0.13 0.5125 0.2185 0.116 0.16 3
0 1 0 0.465 0.375 0.135 0.6 0.2225 0.129 0.23 6
0 1 0 0.705 0.55 0.17 1.219 0.6395 0.236 0.301 3
1 0 0 0.55 0.41 0.15 0.785 0.282 0.186 0.275 4
0 1 0 0.475 0.36 0.12 0.5915 0.3245 0.11 0.127 2
1 0 0 0.58 0.45 0.175 1.068 0.425 0.203 0.32 5
0 0 1 0.485 0.39 0.125 0.591 0.287 0.141 0.12 3
1 0 0 0.41 0.3 0.1 0.301 0.124 0.069 0.09 3
0 0 1 0.43 0.325 0.105 0.309 0.119 0.08 0.098 2
0 0 1 0.575 0.455 0.155 0.8725 0.349 0.2095 0.285 3
1 0 0 0.575 0.455 0.165 0.867 0.3765 0.1805 0.268 3
1 0 0 0.615 0.5 0.17 1.054 0.4845 0.228 0.295 4
1 0 0 0.63 0.495 0.16 1.093 0.497 0.221 0.315 4
1 0 0 0.6 0.45 0.195 1.34 0.617 0.3255 0.3605 4
0 0 1 0.4 0.3 0.115 0.318 0.1335 0.0725 0.0935 2
0 1 0 0.695 0.565 0.19 1.7635 0.7465 0.399 0.4975 4
0 0 1 0.275 0.22 0.08 0.1365 0.0565 0.0285 0.042 2
0 0 1 0.42 0.315 0.11 0.4025 0.1855 0.083 0.1015 3
0 1 0 0.615 0.455 0.145 1.1155 0.5045 0.238 0.315 4
1 0 0 0.63 0.53 0.175 1.4135 0.667 0.2945 0.3555 5
0 1 0 0.73 0.575 0.185 1.8795 0.931 0.38 0.4825 4
0 0 1 0.185 0.375 0.12 0.4645 0.196 0.1045 0.15 2
1 0 0 0.74 0.57 0.18 1.8725 0.9115 0.427 0.446 4
0 0 1 0.31 0.23 0.07 0.1245 0.0505 0.0265 0.038 2
0 1 0 0.615 0.5 0.205 1.1055 0.4445 0.227 0.39 6
0 0 1 0.56 0.445 0.15 0.8225 0.3685 0.187 0.236 4
0 1 0 0.63 0.485 0.17 1.3205 0.5945 0.345 0.345 3
0 0 1 0.51 0.405 0.13 0.599 0.3065 0.1155 0.1485 3
1 0 0 0.37 0.28 0.095 0.2225 0.0805 0.051 0.075 3
1 0 0 0.48 0.375 0.12 0.5895 0.2535 0.128 0.172 4
0 0 1 0.275 0.205 0.08 0.096 0.036 0.0185 0.03 2
0 1 0 0.615 0.5 0.165 1.1765 0.488 0.244 0.345 6
0 0 1 0.395 0.305 0.105 0.284 0.1135 0.0595 0.0945 3
0 1 0 0.7 0.54 0.215 1.978 0.6675 0.3125 0.71 9
0 0 1 0.52 0.38 0.125 0.5545 0.288 0.1295 0.167 3
0 0 1 0.34 0.25 0.075 0.1765 0.0785 0.0405 0.05 3
0 0 1 0.41 0.31 0.11 0.315 0.124 0.082 0.095 3
1 0 0 0.375 0.29 0.1 0.276 0.1175 0.0565 0.085 3
0 1 0 0.62 0.485 0.175 1.271 0.531 0.3075 0.37 4
0 0 1 0.315 0.23 0.08 0.1375 0.0545 0.031 0.0445 2
1 0 0 0.665 0.525 0.175 1.443 0.6635 0.3845 0.353 4
1 0 0 0.445 0.32 0.12 0.414 0.199 0.09 0.117 3
0 1 0 0.505 0.38 0.145 0.651 0.2935 0.19 0.17 4
0 1 0 0.56 0.45 0.16 1.0235 0.429 0.268 0.3 4
0 1 0 0.6 0.5 0.16 1.122 0.5095 0.256 0.309 4
1 0 0 0.635 0.525 0.16 1.195 0.5435 0.246 0.335 4
0 0 1 0.335 0.26 0.09 0.1965 0.0875 0.041 0.056 3
1 0 0 0.54 0.42 0.19 0.6855 0.293 0.163 0.38 4
0 0 1 0.285 0.215 0.07 0.1075 0.051 0.0225 0.027 2
0 0 1 0.46 0.35 0.11 0.4 0.176 0.083 0.1205 3
1 0 0 0.645 0.505 0.165 1.307 0.4335 0.262 0.52 4
0 1 0 0.465 0.36 0.12 0.4765 0.192 0.1125 0.16 4
0 1 0 0.525 0.44 0.125 0.7115 0.3205 0.159 0.1915 3
1 0 0 0.4 0.315 0.105 0.287 0.1135 0.037 0.113 4
0 1 0 0.54 0.415 0.15 0.8115 0.3875 0.1875 0.2035 3
1 0 0 0.61 0.475 0.155 1.168 0.554 0.239 0.3295 4
1 0 0 0.52 0.395 0.125 0.8115 0.4035 0.166 0.2 3
1 0 0 0.58 0.45 0.14 1.013 0.38 0.216 0.36 5
0 0 1 0.405 0.31 0.095 0.3425 0.1785 0.064 0.0855 3
0 0 1 0.5 0.375 0.14 0.5495 0.248 0.112 0.1585 3
0 1 0 0.61 0.47 0.195 1.2735 0.469 0.3315 0.398 4
0 0 1 0.62 0.485 0.18 1.1785 0.4675 0.2655 0.39 5
0 1 0 0.625 0.48 0.155 1.2035 0.5865 0.239 0.3185 4
0 0 1 0.38 0.275 0.1 0.2255 0.08 0.049 0.085 4
1 0 0 0.685 0.51 0.165 1.545 0.686 0.3775 0.4055 4
1 0 0 0.595 0.465 0.175 1.115 0.4015 0.254 0.39 5
1 0 0 0.51 0.405 0.13 0.7175 0.3725 0.158 0.17 3
1 0 0 0.605 0.47 0.165 1.2315 0.6025 0.262 0.2925 4
0 1 0 0.5 0.4 0.125 0.6675 0.261 0.1315 0.22 4
1 0 0 0.505 0.395 0.135 0.5915 0.288 0.1315 0.185 4
0 1 0 0.455 0.375 0.125 0.458 0.1985 0.111 0.12 4
0 0 1 0.42 0.305 0.1 0.3415 0.1645 0.0775 0.086 3
0 1 0 0.56 0.44 0.155 0.6405 0.336 0.1765 0.245 3
0 0 1 0.41 0.31 0.09 0.339 0.155 0.0695 0.09 3
0 1 0 0.515 0.435 0.17 0.631 0.2765 0.111 0.216 4
1 0 0 0.645 0.5 0.195 1.401 0.6165 0.3515 0.3725 4
1 0 0 0.51 0.41 0.145 0.796 0.3865 0.1815 0.1955 3
0 0 1 0.375 0.275 0.095 0.2295 0.095 0.0545 0.066 3
1 0 0 0.71 0.57 0.195 1.348 0.8985 0.4435 0.4535 4
0 1 0 0.63 0.51 0.185 1.235 0.5115 0.349 0.3065 4
0 0 1 0.375 0.28 0.085 0.3155 0.187 0.046 0.067 3
1 0 0 0.48 0.37 0.135 0.6315 0.3445 0.1015 0.161 3
0 0 1 0.575 0.45 0.145 0.795 0.364 0.1505 0.26 4
0 0 1 0.3 0.23 0.075 0.15 0.0605 0.042 0.045 2
0 0 1 0.58 0.435 0.15 0.8915 0.363 0.1925 0.2515 2
0 0 1 0.61 0.465 0.15 0.9605 0.4495 0.1725 0.286 3
1 0 0 0.6 0.47 0.16 1.194 0.5625 0.3045 0.2635 4
0 1 0 0.585 0.45 0.125 0.874 0.3545 0.2075 0.225 2
0 0 1 0.535 0.42 0.145 0.6885 0.273 0.1515 0.237 3
1 0 0 0.625 0.485 0.17 1.437 0.5855 0.293 0.475 4
0 0 1 0.29 0.21 0.07 0.1115 0.048 0.0205 0.03 2
0 1 0 0.645 0.51 0.16 1.2415 0.5815 0.276 0.315 3
0 0 1 0.5 0.38 0.155 0.6675 0.2745 0.156 0.18 4
1 0 0 0.57 0.43 0.12 1.0615 0.348 0.167 0.31 5
0 1 0 0.505 0.39 0.13 0.674 0.3165 0.141 0.1785 3
1 0 0 0.6 0.45 0.16 1.142 0.539 0.225 0.307 4
0 0 1 0.375 0.29 0.095 0.2875 0.123 0.0605 0.08 2
1 0 0 0.625 0.465 0.14 1.195 0.4825 0.205 0.4 5
0 0 1 0.54 0.39 0.125 0.6255 0.2525 0.158 0.19 3
1 0 0 0.645 0.51 0.16 1.33 0.6665 0.309 0.317 3
1 0 0 0.575 0.47 0.14 0.8375 0.3485 0.1735 0.24 4
1 0 0 0.5 0.385 0.135 0.551 0.2245 0.0715 0.206 4
1 0 0 0.61 0.49 0.16 1.112 0.465 0.228 0.341 4
0 0 1 0.14 0.105 0.035 0.014 0.0055 0.0025 0.004 1
0 1 0 0.63 0.5 0.17 1.3135 0.5595 0.267 0.4 7
0 0 1 0.285 0.21 0.055 0.101 0.0415 0.017 0.0335 2
1 0 0 0.335 0.265 0.095 0.1975 0.0795 0.0375 0.07 3
0 1 0 0.5 0.4 0.15 0.8085 0.273 0.112 0.295 5
0 0 1 0.6 0.445 0.175 1.057 0.383 0.216 0.355 6
1 0 0 0.71 0.54 0.165 1.959 0.7665 0.261 0.78 7
0 1 0 0.695 0.56 0.185 1.7715 0.8195 0.331 0.437 4
1 0 0 0.495 0.38 0.135 0.6295 0.263 0.1425 0.215 4
0 0 1 0.42 0.305 0.09 0.328 0.168 0.0615 0.082 2
1 0 0 0.625 0.505 0.185 1.1565 0.52 0.2405 0.3535 4
0 1 0 0.515 0.395 0.14 0.686 0.281 0.1255 0.22 4
0 0 1 0.605 0.485 0.15 1.238 0.6315 0.226 0.33 4
0 0 1 0.525 0.4 0.13 0.6445 0.345 0.1285 0.2 3
1 0 0 0.565 0.425 0.135 0.8115 0.341 0.1675 0.255 5
0 0 1 0.38 0.3 0.09 0.277 0.1655 0.0625 0.082 2
0 0 1 0.625 0.485 0.16 1.15 0.5255 0.257 0.3315 4
1 0 0 0.63 0.515 0.17 1.385 0.6355 0.2955 0.38 4
0 1 0 0.58 0.45 0.185 0.9955 0.3945 0.272 0.285 4
1 0 0 0.51 0.38 0.135 0.681 0.3435 0.142 0.17 3
0 1 0 0.545 0.415 0.15 0.7335 0.2795 0.163 0.2185 4
0 0 1 0.38 0.27 0.08 0.2105 0.0865 0.042 0.07 3
0 1 0 0.72 0.575 0.18 1.6705 0.732 0.3605 0.501 4
0 1 0 0.515 0.42 0.135 0.6295 0.2815 0.127 0.215 3
0 0 1 0.475 0.335 0.1 0.4425 0.1895 0.086 0.135 3
0 1 0 0.655 0.505 0.175 1.2905 0.6205 0.2965 0.326 4
0 1 0 0.695 0.55 0.185 1.679 0.805 0.4015 0.3965 4
0 1 0 0.66 0.505 0.19 1.4045 0.6255 0.3375 0.3745 3
1 0 0 0.575 0.45 0.155 0.9765 0.495 0.2145 0.235 3
1 0 0 0.59 0.5 0.2 1.187 0.412 0.2705 0.37 6
0 1 0 0.675 0.53 0.195 1.4985 0.62 0.375 0.425 3
0 1 0 0.705 0.55 0.2 1.7095 0.633 0.4115 0.49 5
0 0 1 0.4 0.31 0.115 0.314 0.1545 0.0595 0.087 2
0 0 1 0.36 0.275 0.085 0.1975 0.0745 0.0415 0.07 3
0 0 1 0.345 0.27 0.11 0.2135 0.082 0.0545 0.07 3
1 0 0 0.505 0.39 0.12 0.653 0.3315 0.1385 0.167 3
1 0 0 0.46 0.365 0.125 0.467 0.1895 0.0945 0.158 4
1 0 0 0.6 0.47 0.15 0.928 0.4225 0.183 0.275 3
1 0 0 0.58 0.44 0.15 1.0465 0.518 0.2185 0.2795 4
0 0 1 0.515 0.39 0.12 0.565 0.235 0.135 0.179 3
0 1 0 0.49 0.37 0.115 0.541 0.171 0.1175 0.185 4
1 0 0 0.665 0.515 0.19 1.6385 0.831 0.3575 0.371 4
1 0 0 0.65 0.51 0.19 1.542 0.7155 0.3735 0.375 3
0 1 0 0.655 0.525 0.19 1.3595 0.564 0.3215 0.3985 4
0 0 1 0.44 0.35 0.125 0.456 0.21 0.0955 0.131 3
0 0 1 0.46 0.365 0.115 0.511 0.2365 0.118 0.123 3
1 0 0 0.48 0.385 0.145 0.64 0.2925 0.1405 0.1575 2
1 0 0 0.675 0.545 0.185 1.7375 0.876 0.3135 0.469 5
1 0 0 0.72 0.58 0.19 2.0885 0.9955 0.478 0.5305 5
0 0 1 0.25 0.19 0.06 0.0765 0.036 0.0115 0.0245 2
1 0 0 0.565 0.45 0.155 1.0595 0.4735 0.24 0.265 4
1 0 0 0.61 0.49 0.16 1.146 0.597 0.246 0.265 3
1 0 0 0.61 0.48 0.17 1.137 0.4565 0.29 0.347 4
1 0 0 0.62 0.48 0.15 1.1015 0.4965 0.243 0.305 4
0 1 0 0.595 0.47 0.25 1.283 0.462 0.2475 0.445 5
1 0 0 0.605 0.49 0.14 0.9755 0.419 0.206 0.315 4
0 0 1 0.45 0.335 0.105 0.447 0.2335 0.153 0.119 3
1 0 0 0.58 0.46 0.165 1.2275 0.473 0.1965 0.435 6
0 1 0 0.55 0.44 0.155 0.946 0.313 0.1825 0.335 6
0 1 0 0.585 0.465 0.14 0.908 0.381 0.1615 0.315 5
0 1 0 0.565 0.45 0.185 0.9285 0.302 0.1805 0.265 4
0 1 0 0.625 0.485 0.2 1.38 0.5845 0.302 0.401 3
0 1 0 0.625 0.47 0.145 0.984 0.475 0.2 0.265 4
0 1 0 0.45 0.35 0.125 0.4435 0.185 0.09 0.145 4
0 1 0 0.49 0.38 0.125 0.549 0.245 0.1075 0.174 4
0 1 0 0.575 0.465 0.195 0.9965 0.417 0.247 0.47 3
0 1 0 0.665 0.5 0.175 1.4355 0.643 0.345 0.37 3
1 0 0 0.68 0.535 0.185 1.607 0.7245 0.3215 0.498 4
0 0 1 0.19 0.145 0.04 0.038 0.0165 0.0065 0.015 2
0 0 1 0.54 0.42 0.14 0.74 0.3595 0.159 0.1985 3
1 0 0 0.425 0.34 0.12 0.388 0.149 0.087 0.125 4
0 1 0 0.6 0.47 0.15 0.922 0.363 0.194 0.305 4
0 1 0 0.6 0.47 0.19 1.1345 0.492 0.2595 0.3375 4
0 1 0 0.585 0.46 0.15 1.0035 0.503 0.2105 0.2515 4
0 1 0 0.6 0.5 0.17 1.13 0.4405 0.267 0.335 4
1 0 0 0.645 0.52 0.175 1.561 0.709 0.3555 0.4 3
1 0 0 0.62 0.5 0.165 1.307 0.6355 0.2545 0.315 3
0 0 1 0.375 0.275 0.085 0.22 0.109 0.05 0.0605 3
0 0 1 0.475 0.36 0.135 0.4355 0.196 0.0925 0.125 3
